id,forecast_log_id,date,store_id,product_id,predicted,actual,created_at,absolute_error
1,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR001,SKU1001,47,52.0,2025-11-04 11:16:19.423183,5.0
2,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR001,SKU1002,101,108.0,2025-11-04 11:16:19.423183,7.0
3,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR001,SKU1003,49,59.0,2025-11-04 11:16:19.423183,10.0
4,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR001,SKU1004,53,52.0,2025-11-04 11:16:19.423183,1.0
5,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR001,SKU1005,52,64.0,2025-11-04 11:16:19.423183,12.0
6,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR002,SKU1001,6,7.0,2025-11-04 11:16:19.423183,1.0
7,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR002,SKU1002,16,15.0,2025-11-04 11:16:19.423183,1.0
8,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR002,SKU1003,10,11.0,2025-11-04 11:16:19.423183,1.0
9,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR002,SKU1004,20,20.0,2025-11-04 11:16:19.423183,0.0
10,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR002,SKU1005,12,11.0,2025-11-04 11:16:19.423183,1.0
11,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR003,SKU1001,12,14.0,2025-11-04 11:16:19.423183,2.0
12,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR003,SKU1002,23,22.0,2025-11-04 11:16:19.423183,1.0
13,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR003,SKU1003,15,19.0,2025-11-04 11:16:19.423183,4.0
14,fe9e0b55-3601-4032-aecd-2578784f6335,2025-07-01,STR003,SKU1004,29,28.0,2025-11-04 11:16:19.423183,1.0
